experiment_tag,run_id,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,maximum_distance_to_people,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,group_intimate_space_intrusions,group_personal_space_intrusions,group_social_space_intrusions,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents,danger_fear_cost,danger_panic_cost
baseline_run1,1,45.77,0.0,0.0,10.454764147490007,9.014855246570582,17.468647230620558,0.0,0.0,0.0,0.0,0.0,0.0,False,inf,inf,0,0,45.77,0.0,0.0,0.0,0.0,1.5721263240794747,1.6992937618372392,0.011756166,0.011756164,0.023497611,0.0,3.0578592,8.749142677097758,2670.8126729189726
baseline_run1,1,45.75,0.0,0.0,10.449220661911328,8.665894377957969,17.36810092639047,0.0,0.0,0.0,0.0,0.0,0.0,False,inf,inf,0,0,45.75,0.0,0.0,0.0,0.0,1.5505650442879215,1.6176495290532404,0.011030564,0.011030565,0.022028632,0.0,3.1208277,9.013191781155244,2113.9117484116023
baseline_run1,1,45.76,0.0,0.0,10.451420658168992,8.776440419960782,17.18453319136604,0.0,0.0,0.0,0.0,0.0,0.0,False,inf,inf,0,0,45.76,0.0,0.0,0.0,0.0,1.5621954634481547,1.6221035475633583,0.009610925,0.009610925,0.019194186,0.0,3.2052069,8.877095976261796,1481.0209057961733
